chembl_id,smiles,IC50_nM
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0.8698
CHEMBL2103840,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,4.7249
CHEMBL3648110,C[C@H](O)[C@@H](C)Nc1nc(Nc2ccc(S(=N)(=O)CCO)cc2)ncc1Br,5.0133
CHEMBL102926,Cc1nc2ccccn2c1-c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1,6.8399
CHEMBL73303,NS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1,1.4142
CHEMBL190446,C[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2Cc3ccccc3C2=O)cc1,2.0
CHEMBL192602,C[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2CCNC2=O)cc1,2.0
CHEMBL1964259,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)NCCOCCO)cc1,2.5456
CHEMBL191003,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,2.8284
CHEMBL490481,O=C(Cc1ccc(Cc2cccs2)cc1)Nc1cc(C2CC2)[nH]n1,2.9995
CHEMBL3648112,COc1cc(Nc2ncc(Br)c(N[C@H](C)[C@H](C)O)n2)ccc1S(C)(=N)=O,3.4641
CHEMBL3648115,COc1cc(Nc2ncc(Br)c(N[C@H](C)C(C)(C)O)n2)ccc1S(C)(=N)=O,3.4641
CHEMBL489477,O=C(Cc1ccc(-c2ccccc2)c(F)c1)Nc1cc(C2CC2)[nH]n1,3.9995
CHEMBL3639469,Cc1cc(Nc2ncc(Br)c(N[C@H](C)C(C)(C)O)n2)ccc1S(C)(=N)=O,5.2915
CHEMBL3644033,C[C@@H](O)[C@@H](C)Oc1nc(Nc2ccc(S(C)(=O)=O)cc2)ncc1C(F)(F)F,5.6569
CHEMBL359554,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,6.3321
CHEMBL4442620,C[C@@H](O)[C@@H](C)Oc1nc(Nc2ccc(S(=N)(=O)C3CC3)cc2)ncc1C(F)(F)F,6.7082
CHEMBL23254,CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(=O)O)c(Cl)c2)c2ncn(C(C)C)c2n1,7.3485
CHEMBL3642650,Clc1ccccc1-c1cc(NCc2ccncc2)n2ncc(Br)c2n1,7.746
CHEMBL3648128,CC(C)(O)CSc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br,8.0
CHEMBL490480,Cc1cc(CC(=O)Nc2cc(C3CC3)[nH]n2)ccc1-c1ccccc1,8.9975
CHEMBL3644032,C[C@@H](O)[C@@H](C)Oc1nc(Nc2ccc(S(=O)(=O)C3CC3)cc2)ncc1C(F)(F)F,9.798
CHEMBL3644034,C[C@@H](Oc1nc(Nc2ccc(S(C)(=O)=O)cc2)ncc1C(F)(F)F)C(C)(C)O,9.798
CHEMBL526110,O=[N+]([O-])c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,0.3
CHEMBL317703,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc([N+](=O)[O-])cc3)[nH]n2)cc1,0.33
CHEMBL296468,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,87.3358
CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,58.0029
CHEMBL1944698,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,12.6181
CHEMBL3655762,CC[C@H](Nc1nc(NCc2cnc(C)cc2C)c2ncn(C(C)C)c2n1)[C@@H](C)O,14.1861
CHEMBL3919361,O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCC(N5CCOCC5)CC4)cn3)nc12,35.3726
CHEMBL3894860,CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,52.6517
CHEMBL3890528,O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCNCC4)cn3)nc12,57.2049
CHEMBL3904602,CC(C)N1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,73.5241
CHEMBL23327,CC(C)[C@H](CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,21.3997
CHEMBL5755607,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN=C(N)N)C5)ncc3F)cc2n1C(C)C,57.9859
CHEMBL3648123,CCS(=N)(=O)c1ccc(Nc2ncc(Br)c(N[C@H](C)C(C)(C)O)n2)cc1,11.619
CHEMBL192042,C[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2CCN(C)C2=O)cc1,16.99
CHEMBL5950534,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)C[C@@H](C)NC5)ncc3F)cc2n1C(C)(C)C,18.5429
CHEMBL191834,C[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2CCOC2=O)cc1,20.0
CHEMBL5971879,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN[C@H]5C)ncc3F)cc2n1C(C)(C)C,21.2356
CHEMBL445813,O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl,21.6795
CHEMBL401377,Brc1cnn2c(NCc3ccncc3)cc(-c3ccccc3)nc12,24.0832
CHEMBL6031262,C/C(=N/O)N(C)CCN1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,24.5561
CHEMBL3642646,Fc1ccccc1-c1cc(NCc2ccncc2)n2ncc(Br)c2n1,27.7128
CHEMBL114917,COc1cccc(CC(=O)Nc2cc(C3CC3)[nH]n2)c1,28.985
CHEMBL5814867,CNCC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,29.1465
CHEMBL3655764,CC[C@H](Nc1nc(NCc2cccc(Cl)c2)c2ncn(C(C)C)c2n1)[C@@H](C)O,31.6228
CHEMBL5982253,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)C[C@@H](C)N(CCN(C)C)C5)ncc3F)cc2n1C(C)(C)C,32.5521
CHEMBL115319,O=C(Nc1cc(C2CC2)[nH]n1)c1ccc(Br)cc1,33.98
CHEMBL270054,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(Cl)cc32)cc1,35.9166
CHEMBL191144,C[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2CCCC2=O)cc1,36.99
CHEMBL5574741,Cn1cnc(S(=O)(=O)N2CCC(Nc3ncc(C#N)c(-c4cnn(CC(F)(F)F)c4)n3)CC2)c1,40.1248
CHEMBL3642649,Fc1ccccc1-c1cc(NCc2ccncc2)n2ncc(Cl)c2n1,43.0813
CHEMBL6013826,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)[C@H]5C)ncc3F)cc2n1C(C)(C)C,44.5257
CHEMBL5562769,CNCc1ccc(-n2cc(-c3nc(NC4CCN(S(C)(=O)=O)CC4)ncc3C#N)cn2)c(Cl)c1,44.8999
CHEMBL114851,O=C(Cc1ccccc1)Nc1cc(C2CC2)[nH]n1,47.985
CHEMBL5591731,N#Cc1cnc(NC2CCN(S(=O)(=O)c3ccccn3)CC2)nc1-c1cnn(CC(F)(F)F)c1,48.3529
CHEMBL3655765,CC[C@H](Nc1nc(NCc2cccc(F)c2)c2ncn(C(C)C)c2n1)[C@@H](C)O,48.9898
CHEMBL419753,O=C(Nc1cc(C2CCCC2)[nH]n1)c1ccc(Br)cc1,50.0
CHEMBL1080569,N[C@H](CNc1nnc(-c2ccc3cnccc3c2)s1)Cc1ccc(C(F)(F)F)cc1,51.4782
CHEMBL5583697,Cn1cnc(S(=O)(=O)N2CCC(Nc3ncc(C(F)(F)F)c(-c4cnn(CC(F)(F)F)c4)n3)CC2)c1,53.2823
CHEMBL115933,O=C(Cc1ccc(-c2ccccc2)cc1)Nc1cc(C2CC2)[nH]n1,55.99
CHEMBL1922219,CC[C@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)[C@@H](C)O,57.4456
CHEMBL5592661,CS(=O)(=O)N1CCC(Nc2ncc(C(F)(F)F)c(-c3cnn(-c4ccc(C#N)cc4Cl)c3)n2)CC1,64.6993
CHEMBL115994,O=C(Cc1ccc(OC(F)(F)F)cc1)Nc1cc(C2CC2)[nH]n1,66.995
CHEMBL325606,NC(=O)c1ccc(C(=O)Nc2cc(C3CC3)[nH]n2)cc1,68.04
CHEMBL324577,NC(=O)c1ccc(CC(=O)Nc2cc(C3CC3)[nH]n2)cc1,73.98
CHEMBL365341,C[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2CCCC2)cc1,79.99
CHEMBL5573043,CNCc1ccc(-n2cc(-c3nc(NC4CCN(S(C)(=O)=O)CC4)ncc3C(F)(F)F)cn2)c(Cl)c1,81.0864
CHEMBL323392,O=C(Nc1cc(C2CC2)[nH]n1)c1ccc(Cl)c(Cl)c1,82.995
CHEMBL366230,C[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccccc1,83.975
CHEMBL5569715,CC(C)(O)Cn1cc(-c2nc(NC3CCN(S(=O)(=O)C4CC4)CC3)ncc2C(F)(F)F)cn1,84.6404
CHEMBL115264,O=C(Nc1cc(C2CC2)[nH]n1)c1ccc(Cl)cc1,84.96
CHEMBL72461,Cc1nc2ccccn2c1-c1ccnc(Nc2ccccc2)n1,86.9483
CHEMBL3967592,O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(C(=O)N4CCNCC4)cn3)nc12,86.9713
CHEMBL5556607,CC(C)(O)Cn1cc(-c2nc(NC3CCN(S(=O)(=O)C4CC4)CC3)ncc2C#N)cn1,87.1321
CHEMBL112136,O=C(Nc1cc(C2CCC2)[nH]n1)c1ccc(Br)cc1,89.975
