chembl_id,smiles,IC50_nM_geomean,n_replicates,pIC50,activity_class,MW,ExactMW,cLogP,HBD,HBA,TPSA,RotBonds,Fsp3,HAC,Rings,ArRings,Stereo,Ro5_pass,LE,LipE,LELP,BEI,SEI,GE,LE_good,LipE_good,LELP_good,BEI_good,MPO_score,MPO_tier
CHEMBL526110,O=[N+]([O-])c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,0.3,1,9.523,Active,333.311,333.0974,2.838,1,7,111.14,4,0.0,25,4,4,0,True,0.3809,6.685,7.4508,28.5709,8.5685,,True,True,True,True,0.8466,Excellent (>0.8)
CHEMBL317703,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc([N+](=O)[O-])cc3)[nH]n2)cc1,0.33,1,9.481,Active,359.367,359.0688,2.376,3,6,144.01,5,0.0,25,3,3,0,True,0.3792,7.105,6.2658,26.3825,6.5836,,True,True,True,True,0.8429,Excellent (>0.8)
CHEMBL321517,Nc1ccc(-c2cc(Nc3ccc(S(N)(=O)=O)cc3)[nH]n2)cc1,0.3400000000000001,1,9.469,Active,329.385,329.0946,2.05,4,5,126.89,4,0.0,23,3,3,0,True,0.4117,7.419,4.9794,28.7475,7.4624,,True,True,True,True,0.8569,Excellent (>0.8)
CHEMBL476577,CC(=O)NC1CN(c2ccc(Nc3ncc(F)c(-c4cnc(C)n4C(C)C)n3)cc2)C1,0.5,1,9.301,Active,423.496,423.2183,3.437,2,6,87.97,6,0.3636,31,4,3,0,True,0.3,5.864,11.4567,21.9624,10.5729,25.5803,True,True,False,True,0.8294,Excellent (>0.8)
CHEMBL4088242,CC[C@@H](C)Oc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc(N)c1C=O,0.8,1,9.097,Active,365.415,365.1158,1.44,3,8,150.29,7,0.2667,25,2,2,1,True,0.3639,7.657,3.9571,24.895,6.053,34.1095,True,True,True,True,0.8612,Excellent (>0.8)
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0.8698362369616844,5,9.061,Active,466.541,466.2005,4.354,2,4,69.45,2,0.3214,35,8,5,4,True,0.2589,4.707,16.8173,19.4217,13.0468,28.1923,False,False,False,True,0.7435,Good (0.6–0.8)
CHEMBL1171950,NCCCn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2,1.0,1,9.0,Active,363.425,363.1808,1.63,3,6,124.74,6,0.2632,27,4,3,0,True,0.3333,7.37,4.8905,24.7644,7.215,34.1945,True,True,True,True,0.8718,Excellent (>0.8)
CHEMBL5266005,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@@H]3CCO)nc12,1.0,1,9.0,Active,396.495,396.2274,2.279,2,6,92.63,7,0.4762,29,4,3,1,True,0.3103,6.721,7.3445,22.6989,9.7161,18.8996,True,True,True,True,0.8742,Excellent (>0.8)
CHEMBL559513,CN1CCN(c2cccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1,1.0,1,9.0,Active,418.505,418.223,1.57,2,7,105.2,4,0.3636,31,5,3,0,True,0.2903,7.43,5.4082,21.5051,8.5551,24.7525,False,True,True,True,0.8554,Excellent (>0.8)
CHEMBL5171657,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(C3CCCC[C@H]3CCO)nc12,1.0,1,9.0,Active,395.507,395.2321,3.193,2,5,89.39,7,0.5,29,4,3,2,True,0.3103,5.807,10.29,22.7556,10.0682,18.0,True,True,False,True,0.8507,Excellent (>0.8)
CHEMBL509406,Cc1ncc(-c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)c(F)c3)ncc2F)n1C(C)C,1.0,1,9.0,Active,469.54,469.2402,4.075,2,6,87.97,6,0.4167,34,4,3,0,True,0.2647,4.925,15.3948,19.1677,10.2308,21.5983,False,False,False,True,0.7631,Good (0.6–0.8)
CHEMBL4292930,Cc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@@H]3CCO)nc12,1.0,1,9.0,Active,382.468,382.2117,2.025,2,6,92.63,6,0.45,28,4,3,1,True,0.3214,6.975,6.3006,23.5314,9.7161,20.0,True,True,True,True,0.8835,Excellent (>0.8)
CHEMBL478409,COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1,1.0,1,9.0,Active,430.534,430.1787,2.898,2,7,111.03,9,0.35,30,3,3,0,True,0.3,6.102,9.66,20.9043,8.1059,25.7143,True,True,True,True,0.8325,Excellent (>0.8)
CHEMBL1964249,COCCOCCOCCOCCN(C)S(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1,1.0,1,9.0,Active,576.697,576.1712,3.018,2,10,128.32,16,0.3846,39,4,3,0,False,0.2308,5.982,13.0763,15.6061,7.0137,23.4009,False,True,False,True,0.7517,Good (0.6–0.8)
CHEMBL318999,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc(OCC2CCCCC2)c1N=O,1.1,1,8.959,Active,406.468,406.1423,2.807,3,9,162.65,7,0.4118,28,3,2,0,True,0.32,6.152,8.7719,22.0411,5.5081,21.7557,True,True,True,True,0.8229,Excellent (>0.8)
CHEMBL5201870,COCc1cc(C(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)NC(C)C)C3)[nH]n2)n(C)n1,1.1,1,8.959,Active,404.471,404.2172,2.313,3,6,123.16,7,0.5789,29,3,2,2,True,0.3089,6.646,7.4879,22.1499,7.2743,15.4759,True,True,True,True,0.8771,Excellent (>0.8)
CHEMBL411224,CC(C)Cc1cccc2c1/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,1.2,1,8.921,Active,372.45,372.1256,2.301,3,5,113.65,5,0.2222,26,3,2,0,True,0.3431,6.62,6.7065,23.9522,7.8495,40.1485,True,True,True,True,0.8489,Excellent (>0.8)
CHEMBL73303,NS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1,1.414213562373095,2,8.849,Active,366.406,366.0899,2.182,2,6,115.27,4,0.0,26,4,4,0,True,0.3403,6.667,6.412,24.1508,7.6768,,True,True,True,True,0.8256,Excellent (>0.8)
CHEMBL270544,CC(C)=Cc1cccc2c1/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,1.5,1,8.824,Active,370.434,370.11,2.525,3,5,113.65,4,0.1111,26,3,2,0,True,0.3394,6.299,7.4396,23.8207,7.7642,79.4239,True,True,True,True,0.8233,Excellent (>0.8)
CHEMBL445945,NS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncccc4c32)cc1,1.5,1,8.824,Active,366.402,366.0787,2.287,3,5,114.18,3,0.0,26,4,3,0,True,0.3394,6.537,6.7384,24.0828,7.7281,,True,True,True,True,0.8203,Excellent (>0.8)
CHEMBL409892,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc4ncccc4c32)cc1,1.6,1,8.796,Active,367.39,367.0739,1.65,3,6,126.54,3,0.0,26,4,3,0,True,0.3383,7.146,4.8773,23.9419,6.9512,,True,True,True,True,0.8315,Excellent (>0.8)
CHEMBL271136,COc1cccc(OC)c1CNC(=O)c1ccc2c(c1)/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,1.7,1,8.77,Active,509.544,509.1369,2.049,4,8,161.21,8,0.125,36,4,3,0,False,0.2436,6.721,8.4113,17.2115,5.4401,70.16,False,True,True,True,0.7219,Good (0.6–0.8)
CHEMBL429142,CC(C)CC(=O)c1ccc2c(c1)/C(=C/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,1.9,1,8.721,Active,399.472,399.1253,2.968,3,5,118.36,6,0.2,28,3,2,0,True,0.3115,5.753,9.5281,21.8313,7.3682,43.605,True,True,True,True,0.8004,Excellent (>0.8)
CHEMBL364370,Fc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1F,1.995,1,8.7,Active,324.294,324.0935,3.208,1,5,68.0,3,0.0,24,4,4,0,True,0.3625,5.492,8.8497,26.8275,12.7941,,True,True,True,True,0.7967,Good (0.6–0.8)
CHEMBL187081,COc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,1.995,1,8.7,Active,318.34,318.1229,2.939,1,6,77.23,4,0.0588,24,4,4,0,True,0.3625,5.761,8.1076,27.3293,11.2651,147.9592,True,True,True,True,0.8123,Excellent (>0.8)
CHEMBL488257,CNC(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C3CCCC3)n2)cc1,2.0,1,8.699,Active,376.464,376.2012,3.867,2,5,84.73,5,0.3333,28,4,3,0,True,0.3107,4.832,12.4461,23.1071,10.2667,26.0996,True,False,False,True,0.7938,Good (0.6–0.8)
CHEMBL359794,N#Cc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,2.0,1,8.699,Active,313.324,313.1076,2.802,1,6,91.79,3,0.0,24,4,4,0,True,0.3625,5.897,7.7297,27.7636,9.4771,,True,True,True,True,0.8119,Excellent (>0.8)
CHEMBL3298985,CC[C@@H](NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1)c1ccc(C#N)c(Cl)c1,2.0,1,8.699,Active,454.962,454.1884,3.812,2,6,103.17,5,0.4783,32,4,2,1,True,0.2718,4.887,14.025,19.1203,8.4317,18.1873,False,False,False,True,0.7602,Good (0.6–0.8)
CHEMBL3298199,C[C@@H](NC(=O)N1CCc2cnc(N[C@H]3CCO[C@@H](CO)C3)nc2C1)c1ccc(Cl)c(Cl)c1,2.0,1,8.699,Active,480.396,479.1491,3.564,3,6,99.61,5,0.5,32,4,2,3,True,0.2718,5.135,13.1126,18.108,8.7331,17.398,False,True,False,True,0.7609,Good (0.6–0.8)
CHEMBL355631,COc1cc[nH]c1/C=C1\C(=O)Nc2ccc(F)c(C#C[C@@H]3CCCN3)c21,2.0,1,8.699,Active,351.381,351.1383,2.759,3,3,66.15,2,0.25,26,4,2,1,True,0.3346,5.94,8.2457,24.7566,13.1504,34.796,True,True,True,True,0.8254,Excellent (>0.8)
