chembl_id,IC50_nM_geomean,n_replicates,smiles
CHEMBL100391,499.99999999999983,1,CN(C)CC(O)COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3)n2)cc1
CHEMBL100664,15000.000000000004,1,COc1ccccc1Nc1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1
CHEMBL100675,22000.0,1,Cc1ccc(Cl)c(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c1
CHEMBL100811,28000.000000000004,1,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3Br)ncn2)cc1
CHEMBL100945,18999.999999999993,1,C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl
CHEMBL100979,3999.9999999999995,1,Cc1nc2ccccn2c1-c1ccnc(N)n1
CHEMBL101019,6999.999999999999,1,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3F)n2)cc1
CHEMBL101052,36000.00000000002,1,COc1ccc(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)cc1
CHEMBL101119,999.9999999999998,1,CN(C)CC(O)COc1ccc(Nc2cc(N(CC#N)c3cc(Cl)ccc3Cl)ncn2)cc1
CHEMBL101156,2999.9999999999977,1,CN(C)CC(O)COc1ccc(Nc2nccc(N(CCC#N)c3cc(Cl)ccc3Cl)n2)cc1
CHEMBL101311,999.9999999999998,1,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1
CHEMBL101468,1999.9999999999998,1,Cc1ccc(F)c(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)c1
CHEMBL101473,8000.0,1,Cc1cnc(Nc2ccc(OCC(O)CN(C)C)cc2)nc1Nc1ccccc1
CHEMBL101557,34999.99999999997,1,CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(C(F)(F)F)ccc3F)ncn2)cc1
CHEMBL101558,37999.999999999985,1,CN(C)CC(O)COc1ccc(Nc2cc(Nc3c(F)cccc3F)ncn2)cc1
CHEMBL101679,5999.999999999995,1,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1
CHEMBL101801,34.00000000000001,1,NC(=O)c1ccc(Nc2nc(N)c(N=O)c(OCC3CCCCC3)n2)cc1
CHEMBL101810,999.9999999999998,1,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(C(F)(F)F)ccc3F)n2)cc1
CHEMBL101868,85000.0,1,COc1ccccc1Nc1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1
CHEMBL101887,11999.999999999993,1,CN(C)CC(O)COc1ccc(Nc2nccc(N(CCCC(F)(F)F)c3cc(Cl)ccc3Cl)n2)cc1
CHEMBL102047,32984.84500494127,2,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3)n2)cc1
CHEMBL102241,406.99999999999983,1,COc1ccc(-c2cc(Nc3ccc(S(N)(=O)=O)cc3)[nH]n2)cc1F
CHEMBL102622,95000.00000000006,1,Cc1nc2ccccn2c1-c1ccnc(NC(=O)C(F)(F)F)n1
CHEMBL102636,220.00000000000009,1,COc1ccc(Nc2nc(N)c(N=O)c(OCC3CCCCC3)n2)cc1
CHEMBL102926,6.839903786706787,3,Cc1nc2ccccn2c1-c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1
CHEMBL103039,489.99999999999983,1,NS(=O)(=O)c1ccc(Nc2cc(-c3cccc(N4CCOCC4)c3)[nH]n2)cc1
CHEMBL103104,9.1,1,NS(=O)(=O)c1ccc(Nc2cc(-c3cccc(O)c3)n[nH]2)cc1
CHEMBL103115,12.599999999999996,1,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc(O)c(F)c3)n[nH]2)cc1
CHEMBL103285,23.400000000000002,1,NS(=O)(=O)c1ccc(Nc2cc(-c3cccc(Br)c3)[nH]n2)cc1
CHEMBL103355,6.0,1,Cc1ccc(F)c(Nc2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)c1
CHEMBL103382,17.4,1,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1
CHEMBL103633,6999.999999999999,1,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3Br)n2)cc1
CHEMBL104467,2900.0000000000005,1,Nc1cc(OCC2CCCCC2)nc(Nc2ccc(S(N)(=O)=O)cc2)n1
CHEMBL107530,499.99999999999983,1,Nc1nc(Nc2cccc(Br)c2)nc(OCC2CCCCC2)c1N=O
CHEMBL1076581,322.99999999999994,1,N[C@H](CNc1nnc(-c2ccc3[nH]ncc3c2)s1)Cc1ccc(Cl)cc1Cl
CHEMBL1080561,34.99999999999999,1,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4cccc(C(F)(F)F)c4)s3)cc12
CHEMBL1080569,51.478150704935004,2,N[C@H](CNc1nnc(-c2ccc3cnccc3c2)s1)Cc1ccc(C(F)(F)F)cc1
CHEMBL1080740,72.0,1,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(Cl)cc4)s3)cc12
CHEMBL1080891,57.00000000000001,1,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccccc4Cl)s3)cc12
CHEMBL1080892,198.0,1,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccccc4C(F)(F)F)s3)cc12
CHEMBL1080893,17.0,1,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4cccc(Cl)c4)s3)cc12
CHEMBL1080911,17.0,1,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)cc12
CHEMBL1080912,70.00000000000003,1,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(Cl)cc4Cl)s3)cc12
CHEMBL1080913,18.999999999999996,1,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(F)c(F)c4)s3)cc12
CHEMBL1081104,93.00000000000003,1,N[C@H](CNc1cc(-c2ccc3cnccc3c2)no1)Cc1ccc(C(F)(F)F)cc1
CHEMBL1081105,117.00000000000003,1,N[C@H](CCc1cc(-c2ccc3cnccc3c2)no1)Cc1ccc(C(F)(F)F)cc1
